,check,candle_score
0,2,1.0
1,3,1.0
2,3,1.0
3,2,1.0
4,2,1.0
5,3,1.0
6,3,1.0
7,2,1.0
8,3,1.0
9,2,1.0
10,2,1.0
11,2,1.0
12,2,1.0
13,2,1.0
14,3,1.0
15,3,1.0
16,1,0.5
17,1,0.5
18,1,0.5
19,2,1.0
20,0,0.0
21,-1,0.0
22,-2,0.0
23,-1,0.0
24,-3,0.0
25,-2,0.0
26,-1,0.0
27,0,0.0
28,0,0.0
29,0,0.0
30,2,1.0
31,0,0.0
32,0,0.0
33,-1,0.0
34,-1,0.0
35,0,0.0
36,-1,0.0
37,-1,0.0
38,-1,0.0
39,-1,0.0
40,0,0.0
41,0,0.0
42,0,0.0
43,1,0.5
44,1,0.5
45,0,0.0
46,-1,0.0
47,-1,0.0
48,1,0.5
49,2,1.0
50,1,0.5
51,1,0.5
52,0,0.0
53,-2,0.0
54,-2,0.0
55,-1,0.0
56,0,0.0
57,0,0.0
58,0,0.0
59,-2,0.0
60,-1,0.0
61,0,0.0
62,2,1.0
63,4,1.0
64,3,1.0
65,2,1.0
66,2,1.0
67,2,1.0
68,1,0.5
69,1,0.5
70,1,0.5
71,1,0.5
72,0,0.0
73,0,0.0
74,1,0.5
75,1,0.5
76,2,1.0
77,3,1.0
78,3,1.0
79,4,1.0
80,0,0.0
81,1,0.5
82,-3,0.0
83,-3,0.0
84,-2,0.0
85,-3,0.0
86,-3,0.0
87,-4,0.0
88,-3,0.0
89,-3,0.0
90,-2,0.0
91,-1,0.0
92,-1,0.0
93,1,0.5
94,1,0.5
95,-2,0.0
96,-2,0.0
97,-2,0.0
98,-2,0.0
99,-2,0.0
100,-3,0.0
101,-3,0.0
102,-2,0.0
103,0,0.0
104,0,0.0
105,1,0.5
106,1,0.5
107,2,1.0
108,2,1.0
109,3,1.0
110,3,1.0
111,3,1.0
112,3,1.0
113,-1,0.0
114,-1,0.0
115,0,0.0
116,0,0.0
117,0,0.0
118,-1,0.0
119,-2,0.0
120,-2,0.0
121,-2,0.0
122,-2,0.0
123,-2,0.0
124,-1,0.0
125,0,0.0
126,-1,0.0
127,-1,0.0
128,-1,0.0
129,0,0.0
130,1,0.5
131,0,0.0
132,0,0.0
133,1,0.5
134,-1,0.0
135,-1,0.0
136,0,0.0
137,1,0.5
138,2,1.0
139,-1,0.0
140,-1,0.0
141,-1,0.0
142,-1,0.0
143,0,0.0
144,1,0.5
145,-1,0.0
146,-1,0.0
147,-3,0.0
148,-4,0.0
149,-5,0.0
150,-4,0.0
151,-3,0.0
152,-4,0.0
153,-3,0.0
154,-5,0.0
155,-4,0.0
156,-4,0.0
157,-3,0.0
158,-2,0.0
159,0,0.0
160,0,0.0
161,0,0.0
162,-1,0.0
163,-1,0.0
164,0,0.0
165,1,0.5
166,1,0.5
167,-1,0.0
168,-1,0.0
169,-1,0.0
170,1,0.5
171,0,0.0
172,1,0.5
173,1,0.5
174,0,0.0
175,0,0.0
176,1,0.5
177,2,1.0
178,3,1.0
179,3,1.0
180,1,0.5
181,2,1.0
182,1,0.5
183,1,0.5
184,0,0.0
185,0,0.0
186,-1,0.0
187,0,0.0
188,-2,0.0
189,-2,0.0
190,-1,0.0
191,-1,0.0
192,-1,0.0
193,0,0.0
194,1,0.5
195,2,1.0
196,3,1.0
197,1,0.5
198,2,1.0
199,2,1.0
200,3,1.0
201,2,1.0
202,3,1.0
203,2,1.0
204,2,1.0
205,0,0.0
206,-2,0.0
207,0,0.0
208,0,0.0
209,-1,0.0
210,-2,0.0
211,0,0.0
212,-2,0.0
213,-3,0.0
214,-4,0.0
215,-4,0.0
216,-3,0.0
217,-5,0.0
218,-5,0.0
219,-4,0.0
220,-3,0.0
221,-4,0.0
222,-2,0.0
223,-1,0.0
224,0,0.0
225,0,0.0
226,0,0.0
227,1,0.5
228,1,0.5
229,1,0.5
230,0,0.0
231,0,0.0
232,-1,0.0
233,-1,0.0
234,-2,0.0
235,-1,0.0
236,0,0.0
237,-1,0.0
238,-1,0.0
239,-1,0.0
240,-1,0.0
241,-2,0.0
242,-1,0.0
243,-1,0.0
244,-1,0.0
245,-1,0.0
246,-2,0.0
247,-2,0.0
248,-2,0.0
249,-1,0.0
250,0,0.0
251,2,1.0
252,1,0.5
253,1,0.5
254,3,1.0
255,4,1.0
256,4,1.0
257,4,1.0
258,5,1.0
259,4,1.0
260,3,1.0
261,2,1.0
262,2,1.0
263,1,0.5
264,-1,0.0
265,-2,0.0
266,-2,0.0
267,-2,0.0
268,-2,0.0
269,-2,0.0
270,-2,0.0
271,-1,0.0
272,-1,0.0
273,0,0.0
274,1,0.5
275,1,0.5
276,0,0.0
277,1,0.5
278,0,0.0
279,0,0.0
280,1,0.5
281,1,0.5
282,1,0.5
283,1,0.5
284,3,1.0
285,-2,0.0
286,-1,0.0
287,0,0.0
288,0,0.0
289,-1,0.0
290,-1,0.0
291,-2,0.0
292,-2,0.0
293,-1,0.0
294,-1,0.0
295,0,0.0
296,0,0.0
297,0,0.0
298,-1,0.0
299,0,0.0
300,0,0.0
301,2,1.0
302,3,1.0
303,2,1.0
304,2,1.0
305,2,1.0
306,-1,0.0
307,-2,0.0
308,-1,0.0
309,0,0.0
310,0,0.0
311,-1,0.0
312,-1,0.0
313,-2,0.0
314,-3,0.0
315,-2,0.0
316,-3,0.0
317,-4,0.0
318,-4,0.0
319,-3,0.0
320,-3,0.0
321,-3,0.0
322,-2,0.0
323,-1,0.0
324,-1,0.0
325,-1,0.0
326,-1,0.0
327,0,0.0
328,1,0.5
329,-1,0.0
330,0,0.0
331,-1,0.0
332,-2,0.0
333,-2,0.0
334,-2,0.0
335,-1,0.0
336,-1,0.0
337,-2,0.0
338,-1,0.0
339,0,0.0
340,0,0.0
341,-1,0.0
342,1,0.5
343,0,0.0
344,0,0.0
345,0,0.0
346,0,0.0
347,-1,0.0
348,-1,0.0
349,-2,0.0
350,-2,0.0
351,-2,0.0
352,-3,0.0
353,-2,0.0
354,-2,0.0
355,-3,0.0
356,-2,0.0
357,-1,0.0
358,-1,0.0
359,-1,0.0
360,-1,0.0
361,0,0.0
362,0,0.0
363,0,0.0
364,-1,0.0
365,0,0.0
366,0,0.0
367,1,0.5
368,1,0.5
369,1,0.5
370,0,0.0
371,-1,0.0
372,-1,0.0
373,-2,0.0
374,0,0.0
375,-1,0.0
376,-1,0.0
377,-2,0.0
378,-3,0.0
379,-4,0.0
380,-3,0.0
381,-2,0.0
382,-2,0.0
383,0,0.0
384,-2,0.0
385,-1,0.0
386,-3,0.0
387,-3,0.0
388,-2,0.0
389,-1,0.0
390,-2,0.0
391,-2,0.0
392,-2,0.0
393,-4,0.0
394,-3,0.0
395,-4,0.0
396,-3,0.0
397,-3,0.0
398,-3,0.0
399,-3,0.0
400,-2,0.0
401,-2,0.0
402,-3,0.0
403,-3,0.0
404,-2,0.0
405,-1,0.0
406,-1,0.0
407,-1,0.0
408,-2,0.0
409,-1,0.0
410,-2,0.0
411,-1,0.0
412,0,0.0
413,1,0.5
414,0,0.0
415,-1,0.0
416,-1,0.0
417,-1,0.0
418,0,0.0
419,-1,0.0
420,1,0.5
421,0,0.0
422,-1,0.0
423,-1,0.0
424,-1,0.0
425,1,0.5
426,2,1.0
427,3,1.0
428,3,1.0
429,4,1.0
430,3,1.0
431,3,1.0
432,4,1.0
433,4,1.0
434,4,1.0
435,3,1.0
436,3,1.0
437,2,1.0
438,2,1.0
439,1,0.5
440,2,1.0
441,2,1.0
442,2,1.0
443,2,1.0
444,1,0.5
445,1,0.5
446,1,0.5
447,2,1.0
448,1,0.5
449,1,0.5
450,0,0.0
451,0,0.0
452,0,0.0
453,0,0.0
454,0,0.0
455,1,0.5
456,-1,0.0
457,-1,0.0
458,0,0.0
459,-1,0.0
460,0,0.0
461,0,0.0
462,0,0.0
463,-1,0.0
464,-1,0.0
465,-3,0.0
466,-1,0.0
467,-1,0.0
468,0,0.0
469,1,0.5
470,0,0.0
471,0,0.0
472,0,0.0
473,2,1.0
474,3,1.0
475,5,1.0
476,4,1.0
477,3,1.0
478,2,1.0
479,2,1.0
480,2,1.0
481,2,1.0
482,2,1.0
483,2,1.0
484,3,1.0
485,2,1.0
486,2,1.0
487,1,0.5
488,0,0.0
489,0,0.0
490,0,0.0
491,0,0.0
492,1,0.5
493,0,0.0
494,0,0.0
495,0,0.0
496,0,0.0
497,1,0.5
498,2,1.0
499,2,1.0
500,2,1.0
501,2,1.0
502,1,0.5
503,0,0.0
504,-1,0.0
505,-1,0.0
506,-1,0.0
507,-2,0.0
508,-3,0.0
509,-4,0.0
510,-4,0.0
511,-4,0.0
512,-3,0.0
513,-2,0.0
514,-1,0.0
515,-1,0.0
516,-1,0.0
517,0,0.0
518,0,0.0
519,1,0.5
520,1,0.5
521,0,0.0
522,-1,0.0
523,0,0.0
524,-1,0.0
525,-1,0.0
526,-1,0.0
527,-1,0.0
528,-1,0.0
529,-1,0.0
530,-2,0.0
531,0,0.0
532,0,0.0
533,-1,0.0
534,-1,0.0
535,-1,0.0
536,-1,0.0
537,-1,0.0
538,-1,0.0
539,-2,0.0
540,0,0.0
541,-1,0.0
542,-1,0.0
543,0,0.0
544,0,0.0
545,0,0.0
546,-1,0.0
547,1,0.5
548,0,0.0
549,0,0.0
550,0,0.0
551,-2,0.0
552,-1,0.0
553,0,0.0
554,1,0.5
555,1,0.5
556,1,0.5
557,0,0.0
558,1,0.5
559,2,1.0
560,2,1.0
561,2,1.0
562,1,0.5
563,0,0.0
564,0,0.0
565,0,0.0
566,1,0.5
567,0,0.0
568,1,0.5
569,0,0.0
570,-1,0.0
571,0,0.0
572,0,0.0
573,0,0.0
574,0,0.0
575,-1,0.0
576,-2,0.0
577,-4,0.0
578,-2,0.0
579,-1,0.0
580,-1,0.0
581,-2,0.0
582,-1,0.0
583,-1,0.0
584,0,0.0
585,0,0.0
586,1,0.5
587,-2,0.0
588,-2,0.0
589,-2,0.0
590,-1,0.0
591,0,0.0
