,Unnamed: 0,date,high,low,open,close,20_MA,50_MA,entry_qaulity,candle_pattern_check,candle_pattern_score,bb_check,bb_score,trend_0,trend_1,trend_score,grad_0,grad_1,grad_score,RSI,RSI_score
0,0,1626984539999,2025.95,2023.22,2025.7,2024.45,,,0.0,2.0,1.0,3.0,1.0,1.0,-1.0,0.5,-0.004761827089921,-0.0023402037422222,0.0,51.502905308516425,0.0
1,1,1626984599999,2025.06,2023.58,2024.45,2025.06,,,0.0,3.0,1.0,-1.0,0.0,1.0,-1.0,0.5,-0.0036541573618397,-0.0029437088473586,0.0,51.3285923591313,0.0
2,2,1626984659999,2025.43,2023.36,2025.07,2024.17,,,0.0,3.0,1.0,1.0,1.0,1.0,-1.0,0.5,-0.002782010696073,-0.0031245047547763,0.0,47.31516716253258,0.0
3,3,1626984719999,2024.76,2023.0,2024.07,2023.01,,,0.0,2.0,1.0,1.0,1.0,-1.0,-1.0,0.0,-0.0007575771715078,-0.002406411278331,0.0,44.31585740673263,0.25
4,4,1626984779999,2023.98,2022.51,2023.0,2023.76,,,0.0,2.0,1.0,3.0,1.0,-1.0,-1.0,0.0,-0.000566591447809,-0.002037176318037,0.0,49.62305659777957,0.375
5,5,1626984839999,2023.76,2021.04,2023.76,2021.29,,,0.0,3.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0004901971278536,-0.0020499085822998,0.5,52.25489686362707,0.4375
6,6,1626984899999,2021.89,2021.14,2021.39,2021.41,,,0.0,3.0,1.0,-5.0,0.0,-1.0,-1.0,0.0,0.0021835972559788,-0.0015176986620656,0.5,49.86775098151635,0.25
7,7,1626984959999,2024.77,2021.28,2021.28,2023.25,,,0.0,2.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0028775017750406,-0.001224854930644,0.5,52.8457528428795,0.375
8,8,1626985019999,2024.32,2022.81,2023.24,2023.51,,,1.0,3.0,1.0,1.0,1.0,1.0,-1.0,0.5,0.0035141054516926,-0.000730839177616,0.5,61.97840874655308,0.1875
9,9,1626985079999,2024.53,2023.2,2023.55,2024.25,,,0.0,2.0,1.0,1.0,1.0,1.0,-1.0,0.5,0.0048509487777478,0.0002240901506224,1.0,55.21846363881797,0.0625
10,10,1626985139999,2026.16,2024.19,2024.21,2026.16,,,0.0,2.0,1.0,1.0,1.0,-1.0,-1.0,0.0,-0.0006111547937352,-9.421972562573852e-05,0.0,46.99017410052764,0.375
11,11,1626985199999,2027.0,2025.2,2026.07,2025.2,,,0.0,2.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,-0.001336899556734,0.0011128102287193,0.5,46.059091125641096,0.4375
12,12,1626985259999,2025.39,2022.12,2025.21,2022.12,,,0.0,2.0,1.0,1.0,1.0,-1.0,-1.0,0.0,-0.0017252353596845,0.0013190742806775,0.5,45.64528880981828,0.5
13,13,1626985319999,2022.56,2021.59,2022.14,2021.74,,,1.0,2.0,1.0,3.0,1.0,-1.0,-1.0,0.0,-0.001094984928678,-9.676620466587508e-05,0.0,49.37130462394196,0.5
14,14,1626985379999,2024.7,2021.83,2021.83,2022.61,,,1.0,3.0,1.0,1.0,1.0,-1.0,-1.0,0.0,-0.0006366195601656,-0.0003055774672693,0.0,50.236730381711446,0.5
15,15,1626985439999,2023.8,2021.67,2022.63,2021.69,,,0.0,3.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,-0.0001400563476621,-2.546479098253773e-06,0.0,44.6509301778321,0.25
16,16,1626985499999,2022.46,2021.0,2022.01,2021.64,,,0.0,1.0,0.5,1.0,1.0,-1.0,-1.0,0.0,-0.0010695202113757,-0.0001094985997689,0.0,48.21217841039575,0.375
17,17,1626985559999,2021.6,2020.0,2021.6,2020.01,,,0.0,1.0,0.5,1.0,1.0,-1.0,-1.0,0.0,-0.0006748167059741,-0.0009243712598576,0.0,51.95607848347379,0.4375
